,Technology,Tissue,Dataset,Sample,Number of Spots,Number of Genes,Genes Detected per Spot,Sparsity,Avg Expression per Spot,Avg Non Zero Expression per Spot,Number of Clusters,Annotation_Level,Original_Annotation,Level
0,10x Visium,Brain,DLPFC,151507,4221,33538,1409.482,0.958,0.077,1.782,7,domain,Manual Annotation,Level 1
1,10x Visium,Brain,DLPFC,151508,4381,33538,1191.235,0.964,0.063,1.723,7,domain,Manual Annotation,Level 1
2,10x Visium,Brain,DLPFC,151509,4788,33538,1434.161,0.957,0.076,1.718,7,domain,Manual Annotation,Level 1
3,10x Visium,Brain,DLPFC,151510,4595,33538,1368.559,0.959,0.073,1.735,7,domain,Manual Annotation,Level 1
4,10x Visium,Brain,DLPFC,151669,3636,33538,1796.764,0.946,0.112,2.009,5,domain,Manual Annotation,Level 1
5,10x Visium,Brain,DLPFC,151670,3484,33538,1675.843,0.95,0.102,1.965,5,domain,Manual Annotation,Level 1
6,10x Visium,Brain,DLPFC,151671,4093,33538,1859.503,0.945,0.116,1.998,5,domain,Manual Annotation,Level 1
7,10x Visium,Brain,DLPFC,151672,3888,33538,1770.257,0.947,0.109,1.975,5,domain,Manual Annotation,Level 1
8,10x Visium,Brain,DLPFC,151673,3611,33538,2207.998,0.934,0.137,1.983,7,domain,Manual Annotation,Level 1
9,10x Visium,Brain,DLPFC,151674,3635,33538,2697.521,0.92,0.176,2.094,7,domain,Manual Annotation,Level 1
10,10x Visium,Brain,DLPFC,151675,3566,33538,1807.521,0.946,0.107,1.895,7,domain,Manual Annotation,Level 1
11,10x Visium,Brain,DLPFC,151676,3431,33538,1936.961,0.942,0.115,1.922,7,domain,Manual Annotation,Level 1
12,10x Visium,Brain,Mouse Brain,FF3_S1_Sagittal_Posterior,3353,31053,4541.987,0.854,0.549,3.438,17,domain,Unsupervised clustering,Level 3
13,10x Visium,Brain,Mouse Brain,FF4_S2_Sagittal_Anterior,2825,31053,5015.129,0.838,0.637,3.77,18,domain,Unsupervised clustering,Level 3
14,10x Visium,Brain,Mouse Brain,FF5_S2_Sagittal_Posterior,3293,31053,4385.757,0.859,0.506,3.311,18,domain,Unsupervised clustering,Level 3
15,10x Visium,Brain,Mouse Brain,FF6,2560,31053,4722.021,0.848,0.637,3.933,17,domain,Unsupervised clustering,Level 3
16,10x Visium,Brain,Mouse Brain,FF7,2500,31053,4389.446,0.859,0.584,3.933,17,domain,Unsupervised clustering,Level 3
17,10x Visium,Brain,Human Cerebellum,Whole_Transcriptome,4992,36601,2855.558,0.922,0.177,2.069,8,domain,Unsupervised clustering,Level 3
18,10x Visium,Brain,Mouse Brain,Section_Coronal,2686,32285,5953.154,0.816,0.988,5.085,15,domain,Manual Annotation,Level 1
19,10x Visium,Brain,Mouse Brain,S1_Sagittal_Anterior_Level,2693,32285,5883.059,0.818,0.796,4.141,9,domain,Manual Annotation,Level 1
20,10x Visium,Breast,Human Breast Cancer,Block_A_Section1,3798,36601,5621.993,0.846,0.596,3.463,20,domain,Manual Annotation,Level 1
21,10x Visium,Breast,Human Breast Cancer,Block_A_Section2,3987,36601,5458.042,0.851,0.571,3.463,10,domain,Unsupervised clustering,Level 3
22,10x Visium,Breast,Human Breast Cancer,Whole_Transcriptome,4898,36601,3522.717,0.904,0.28,2.678,9,domain,Unsupervised clustering,Level 3
23,10x Visium,Breast,Human Breast,sample01,2103,36601,2602.554,0.929,0.237,2.548,9,domain,Unsupervised clustering + Marker genes,Level 1
24,10x Visium,Breast,Human Breast,sample02,1400,36601,2337.706,0.936,0.268,2.638,9,domain,Unsupervised clustering + Marker genes,Level 1
25,10x Visium,Breast,Human Breast,sample03,2364,36601,1756.434,0.952,0.106,1.932,9,domain,Unsupervised clustering + Marker genes,Level 1
26,10x Visium,Breast,Human Breast,sample04,2504,36601,1490.822,0.959,0.088,1.705,9,domain,Unsupervised clustering + Marker genes,Level 1
27,10x Visium,Breast,Human Breast,sample05,2224,36601,2492.613,0.932,0.266,3.025,9,domain,Unsupervised clustering + Marker genes,Level 1
28,10x Visium,Breast,Human Breast,sample06,3037,36601,2348.268,0.936,0.198,2.404,9,domain,Unsupervised clustering + Marker genes,Level 1
29,10x Visium,Breast,Human Breast,sample07,2086,36601,1805.425,0.951,0.161,2.387,9,domain,Unsupervised clustering + Marker genes,Level 1
30,10x Visium,Breast,Human Breast,sample08,2801,36601,2674.042,0.927,0.285,2.944,9,domain,Unsupervised clustering + Marker genes,Level 1
31,10x Visium,Breast,Human Breast,sample09,2694,36601,2583.376,0.929,0.261,2.566,9,domain,Unsupervised clustering + Marker genes,Level 1
32,10x Visium,Breast,Human Breast,sample10,2473,36601,1851.064,0.949,0.178,2.319,9,domain,Unsupervised clustering + Marker genes,Level 1
33,10x Visium,Heart,Human Heart,Human_Heart,4247,36601,1933.21,0.947,0.239,4.433,3,domain,Unsupervised clustering,Level 3
34,10x Visium,Heart,Chicken Heart,D10,1916,24356,2146.394,0.912,0.442,4.796,7,domain,Manual Annotation,Level 1
35,10x Visium,Heart,Chicken Heart,D14,1967,24356,2044.886,0.916,0.402,4.667,6,domain,Manual Annotation,Level 1
36,10x Visium,Heart,Chicken Heart,D4,747,24356,2306.55,0.905,0.438,3.751,5,domain,Manual Annotation,Level 1
37,10x Visium,Heart,Chicken Heart,D7,1966,24356,2232.636,0.908,0.488,5.013,7,domain,Manual Annotation,Level 1
38,10x Visium,Heart,Human Cardiac Niches,LV_9383356,1166,33538,608.744,0.982,0.074,3.945,3,domain,Manual Annotation,Level 1
39,10x Visium,Heart,Human Cardiac Niches,RA_10238251,1302,33538,1626.547,0.952,0.14,2.745,4,domain,Manual Annotation,Level 1
40,10x Visium,Heart,Human Cardiac Niches,SAN_13233999,2881,33538,2166.739,0.935,0.215,2.943,6,domain,Manual Annotation,Level 1
41,10x Visium,Heart,Human Cardiac Niches,SAN_13233996,3052,33538,1675.915,0.95,0.149,2.699,6,domain,Manual Annotation,Level 1
42,10x Visium,Heart,Human Cardiac Niches,SP_8795938,1564,33538,2374.485,0.929,0.273,3.703,3,domain,Manual Annotation,Level 1
43,10x Visium,Heart,Human Cardiac Niches,RA_9383353,1035,33538,1524.757,0.955,0.117,2.462,4,domain,Manual Annotation,Level 1
44,10x Visium,Heart,Human Cardiac Niches,SP_8795939,2037,33538,2116.341,0.937,0.248,3.707,4,domain,Manual Annotation,Level 1
45,10x Visium,Heart,Human Cardiac Niches,LV_8795933,2891,33538,1286.385,0.962,0.114,2.891,6,domain,Manual Annotation,Level 1
46,10x Visium,Heart,Human Cardiac Niches,AX_10238253,2168,33538,2391.872,0.929,0.325,4.356,5,domain,Manual Annotation,Level 1
47,10x Visium,Heart,Human Cardiac Niches,SAN_12992072,3802,33538,2500.614,0.925,0.317,3.733,7,domain,Manual Annotation,Level 1
48,10x Visium,Heart,Human Cardiac Niches,SAN_13233997,3400,33538,1692.879,0.95,0.161,2.783,5,domain,Manual Annotation,Level 1
