,Technology,Dataset,Sample,Method,ARI,NMI,FMI,Purity,Homogeneity,Completeness,V_measure,Time,Memory,PAS,CHAOS,ASW,Level
0,STARmap,Mouse Medial Prefrontal Cortex,BZ14,BASS,0.54970033,0.590223792,0.602233669,0.681066176,0.580286964,0.600506864,0.590223792,471.990884,507.4,0.673713235,0.150600092,-0.127392561,celltype
1,STARmap,Mouse Medial Prefrontal Cortex,BZ14,Banksy,0.37868479,0.459395533,0.462721477,0.583639706,0.444314628,0.475536157,0.459395533,6.575611639,17.69539032,0.545036765,0.135770171,-0.113200808,celltype
2,STARmap,Mouse Medial Prefrontal Cortex,BZ14,CCST,0.1413808,0.232473216,0.247075648,0.401654412,0.218140496,0.249129826,0.232473216,90.33687487,88.46706028,0.144117647,0.083567196,-0.123463503,celltype
3,STARmap,Mouse Medial Prefrontal Cortex,BZ14,CellCharter,0.24975506,0.354844488,0.320021294,0.494485294,0.36961704,0.341217426,0.354844488,99.41473045,11.93112278,0.668382353,0.11652582,-0.074714839,celltype
4,STARmap,Mouse Medial Prefrontal Cortex,BZ14,DeepST,0.280482464,0.373597693,0.349639101,0.534742647,0.384594979,0.363232671,0.373597693,42.78643827,37.70744801,0.521507353,0.112084194,-0.095159384,celltype
5,STARmap,Mouse Medial Prefrontal Cortex,BZ14,GraphST,0.212446008,0.29870284,0.296027248,0.470588235,0.294987723,0.302512728,0.29870284,11.12686524,39.88730373,0.238970588,0.078656578,-0.135646462,celltype
6,STARmap,Mouse Medial Prefrontal Cortex,BZ14,PRECAST,0.410955032,0.481963695,0.468755237,0.598345588,0.498914436,0.466126917,0.481963695,7.240633965,79.36,0.633272059,0.143314101,-0.122839302,celltype
7,STARmap,Mouse Medial Prefrontal Cortex,BZ14,SEDR,0.193935793,0.280040759,0.283057335,0.457352941,0.277399076,0.282803499,0.280040759,11.6106657,30.12471504,0.18125,0.082697028,-0.049399568,celltype
8,STARmap,Mouse Medial Prefrontal Cortex,BZ14,STAGATE,0.187523025,0.273402125,0.266580612,0.453860294,0.278327754,0.268668295,0.273402125,13.00993032,21.24020348,0.239154412,0.088971351,-0.082821608,celltype
9,STARmap,Mouse Medial Prefrontal Cortex,BZ14,SpaGCN,0.421232356,0.449101999,0.492926962,0.547794118,0.419913013,0.482652104,0.449101999,20.14442596,33.9875658,0.59375,0.124967843,-0.224354923,celltype
10,STARmap,Mouse Medial Prefrontal Cortex,BZ14,SpaceFlow,0.14073672,0.256088382,0.217964636,0.429044118,0.26803776,0.245160426,0.256088382,12.70560746,37.55689411,0.128125,0.078200296,0.0294019,celltype
11,STARmap,Mouse Medial Prefrontal Cortex,BZ14,SpatialMGCN,0.29431653,0.37422488,0.421602209,0.499080882,0.3241702,0.442559961,0.37422488,23.32580237,32.92260456,0.425551471,0.120404854,-0.33566177,celltype
12,STARmap,Mouse Medial Prefrontal Cortex,BZ14,stLearn,0.482507735,0.56554965,0.534275116,0.674448529,0.583910785,0.548332267,0.56554965,1.298117208,4.390799522,0.830698529,0.164871013,-0.155751666,celltype
13,STARmap,Mouse Medial Prefrontal Cortex,BZ14,BASS,0.769808618,0.734861801,0.850258188,0.920955882,0.762944628,0.70877295,0.734861801,471.990884,507.4,0.034926471,0.075278778,0.218910566,domain
14,STARmap,Mouse Medial Prefrontal Cortex,BZ14,Banksy,0.490672817,0.54908352,0.682784202,0.793198529,0.539282649,0.559247226,0.54908352,5.202308178,17.69491215,0.014705882,0.073355989,0.147262271,domain
15,STARmap,Mouse Medial Prefrontal Cortex,BZ14,CCST,0.460360736,0.494658141,0.646387062,0.770220588,0.508320413,0.482386444,0.494658141,86.03193765,81.19088192,0.068014706,0.078631715,0.138049678,domain
16,STARmap,Mouse Medial Prefrontal Cortex,BZ14,CellCharter,0.586570895,0.621895152,0.722471469,0.865441176,0.679781846,0.573134114,0.621895152,92.56545572,11.92049255,0.053860294,0.07588614,0.203013783,domain
17,STARmap,Mouse Medial Prefrontal Cortex,BZ14,DeepST,0.658611008,0.611337803,0.780315682,0.867830882,0.624862153,0.598581351,0.611337803,66.8571475,37.12732906,0.085294118,0.077204498,0.155422488,domain
18,STARmap,Mouse Medial Prefrontal Cortex,BZ14,GraphST,0.647401388,0.608438597,0.771988935,0.868566176,0.623797765,0.593817602,0.608438597,11.03589187,39.88773479,0.068933824,0.077089647,0.197669257,domain
19,STARmap,Mouse Medial Prefrontal Cortex,BZ14,PRECAST,0.377658231,0.446593469,0.589268665,0.791360294,0.471155681,0.424465311,0.446593469,2.956183958,74,0.138786765,0.083136415,0.051891619,domain
20,STARmap,Mouse Medial Prefrontal Cortex,BZ14,SEDR,0.313770634,0.385673567,0.565394197,0.711948529,0.386904161,0.386646271,0.385673567,10.4634254,30.12568626,0.051654412,0.075682713,0.020453442,domain
21,STARmap,Mouse Medial Prefrontal Cortex,BZ14,STAGATE,0.74442809,0.694762986,0.837703267,0.897977941,0.695261655,0.694265246,0.694762986,10.46294184,21.30970421,0.044117647,0.07548188,0.218290155,domain
22,STARmap,Mouse Medial Prefrontal Cortex,BZ14,SpaGCN,0.258499395,0.311578695,0.486390482,0.688419118,0.347963552,0.282082681,0.311578695,7.214632177,32.15077934,0.379595588,0.092610693,-0.008303339,domain
23,STARmap,Mouse Medial Prefrontal Cortex,BZ14,SpaceFlow,0.671532258,0.666392472,0.781467253,0.897242647,0.721797669,0.618956086,0.666392472,12.7951293,32.27607517,0.024448529,0.073792471,0.196671667,domain
24,STARmap,Mouse Medial Prefrontal Cortex,BZ14,SpatialMGCN,0.280427374,0.273301155,0.533858466,0.682904412,0.27945895,0.26740888,0.273301155,15.70109715,32.92669086,0.280330882,0.101119642,0.002076355,domain
25,STARmap,Mouse Medial Prefrontal Cortex,BZ14,stLearn,0.211479303,0.224705266,0.463569145,0.645220588,0.245020884,0.207500884,0.224705266,1.268579149,4.390909195,0.449816176,0.100637853,0.005882195,domain
26,STARmap,Mouse Medial Prefrontal Cortex,BZ5,BASS,0.402613652,0.522102387,0.469159869,0.586272641,0.510927442,0.533777096,0.522102387,489.877578,480.9,0.653956149,0.151527402,-0.162252615,celltype
27,STARmap,Mouse Medial Prefrontal Cortex,BZ5,Banksy,0.310468066,0.437129179,0.389799383,0.531935176,0.427807159,0.44688236,0.437129179,5.344130373,17.06958294,0.538798856,0.14102309,-0.112719519,celltype
28,STARmap,Mouse Medial Prefrontal Cortex,BZ5,CCST,0.126549309,0.239717628,0.229754623,0.364537655,0.225858478,0.255560036,0.239717628,85.94739728,83.59078732,0.14013346,0.077924288,-0.08688307,celltype
29,STARmap,Mouse Medial Prefrontal Cortex,BZ5,CellCharter,0.23646992,0.369147934,0.304614099,0.47950429,0.383202257,0.356103998,0.369147934,100.5488965,11.810256,0.59485224,0.114446026,-0.05689206,celltype
30,STARmap,Mouse Medial Prefrontal Cortex,BZ5,DeepST,0.245792856,0.361033439,0.318093201,0.502383222,0.365026926,0.357163699,0.361033439,41.59903183,35.45001316,0.344899905,0.102020091,-0.091970221,celltype
31,STARmap,Mouse Medial Prefrontal Cortex,BZ5,GraphST,0.217777678,0.325248603,0.293717418,0.485224023,0.327038903,0.323477798,0.325248603,11.44438558,37.21465492,0.261201144,0.075109827,-0.076937526,celltype
32,STARmap,Mouse Medial Prefrontal Cortex,BZ5,PRECAST,0.38477916,0.497210806,0.442809286,0.599618684,0.5097662,0.485259018,0.497210806,6.816972065,68.48,0.630123928,0.145822748,-0.146590741,celltype
33,STARmap,Mouse Medial Prefrontal Cortex,BZ5,SEDR,0.19166494,0.293891597,0.274943345,0.430505243,0.291543616,0.29634547,0.293891597,11.12892342,31.73893795,0.114775977,0.075063188,-0.048865038,celltype
34,STARmap,Mouse Medial Prefrontal Cortex,BZ5,STAGATE,0.208221403,0.30876094,0.288063,0.461963775,0.30650782,0.311060964,0.30876094,11.98024187,20.00680714,0.213346044,0.080933566,-0.062646651,celltype
35,STARmap,Mouse Medial Prefrontal Cortex,BZ5,SpaGCN,0.358443563,0.425430338,0.427525817,0.542421354,0.410744822,0.441204906,0.425430338,17.24194369,31.11974201,0.588179218,0.113586489,-0.215782195,celltype
36,STARmap,Mouse Medial Prefrontal Cortex,BZ5,SpaceFlow,0.171936676,0.287165499,0.245763238,0.41620591,0.296760508,0.278173463,0.287165499,9.640506554,35.01690941,0.134985701,0.076539399,0.016286361,celltype
37,STARmap,Mouse Medial Prefrontal Cortex,BZ5,SpatialMGCN,0.270843129,0.450827316,0.432597438,0.447092469,0.369488858,0.578085855,0.450827316,16.11023006,32.0383831,0.340324118,0.110464533,-0.303695959,celltype
38,STARmap,Mouse Medial Prefrontal Cortex,BZ5,stLearn,0.396441307,0.510461241,0.453674238,0.609151573,0.519771144,0.501564646,0.510461241,1.485136795,4.238329697,0.777311725,0.161905043,-0.158111707,celltype
39,STARmap,Mouse Medial Prefrontal Cortex,BZ5,BASS,0.81483353,0.78965205,0.873284278,0.929456625,0.803371185,0.776393609,0.78965205,489.877578,480.9,0.025738799,0.070918622,0.266236847,domain
40,STARmap,Mouse Medial Prefrontal Cortex,BZ5,Banksy,0.551910569,0.615958731,0.691171979,0.802097235,0.629401772,0.603089032,0.615958731,5.060063744,18.36158009,0.027264061,0.06965037,0.199535247,domain
41,STARmap,Mouse Medial Prefrontal Cortex,BZ5,CCST,0.504662461,0.511643256,0.688022108,0.743183985,0.465902442,0.568045879,0.511643256,83.72548699,76.61796741,0.043851287,0.072674685,0.167644295,domain
42,STARmap,Mouse Medial Prefrontal Cortex,BZ5,CellCharter,0.569367513,0.611155869,0.699793607,0.804003813,0.636257121,0.587982444,0.611155869,102.0437058,17.80105782,0.07435653,0.073266199,0.191689673,domain
43,STARmap,Mouse Medial Prefrontal Cortex,BZ5,DeepST,0.538758891,0.574392959,0.681785885,0.78379409,0.594881461,0.555872188,0.574392959,68.27851772,40.93924198,0.084842707,0.072484154,0.080771526,domain
44,STARmap,Mouse Medial Prefrontal Cortex,BZ5,GraphST,0.492272566,0.568234492,0.677018552,0.779790276,0.545890651,0.592485506,0.568234492,10.92577581,37.30250816,0.076263108,0.069691063,0.100356173,domain
45,STARmap,Mouse Medial Prefrontal Cortex,BZ5,PRECAST,0.197111158,0.307794616,0.466299722,0.643469971,0.304283431,0.311387781,0.307794616,2.780794048,64.5,0.299332698,0.088839042,0.016646934,domain
46,STARmap,Mouse Medial Prefrontal Cortex,BZ5,SEDR,0.710605189,0.676091912,0.80548673,0.883126787,0.672633143,0.679592849,0.676091912,10.6420825,28.15951805,0.028026692,0.069439302,0.174925799,domain
47,STARmap,Mouse Medial Prefrontal Cortex,BZ5,STAGATE,0.74166581,0.686433444,0.826862616,0.892469018,0.682201544,0.69087954,0.686433444,13.42097535,26.85714855,0.06749285,0.0754699,0.174968858,domain
48,STARmap,Mouse Medial Prefrontal Cortex,BZ5,SpaGCN,0.279761688,0.314377803,0.488871436,0.638703527,0.333312551,0.297478696,0.314377803,9.883388662,32.73923168,0.422306959,0.087989431,0.024233854,domain
49,STARmap,Mouse Medial Prefrontal Cortex,BZ5,SpaceFlow,0.774008216,0.756769435,0.845554573,0.906196378,0.767597599,0.746403665,0.756769435,11.64218726,38.82823353,0.025738799,0.069799577,0.225132371,domain
50,STARmap,Mouse Medial Prefrontal Cortex,BZ5,SpatialMGCN,0.339489427,0.354369768,0.559122647,0.64442326,0.342685798,0.366878597,0.354369768,15.86603036,32.17131062,0.257387989,0.091444003,0.016464503,domain
51,STARmap,Mouse Medial Prefrontal Cortex,BZ5,stLearn,0.256316752,0.281160717,0.482760277,0.607435653,0.290160944,0.272703677,0.281160717,1.416300297,4.299184227,0.400762631,0.096656143,0.029766118,domain
52,STARmap,Mouse Medial Prefrontal Cortex,BZ9,BASS,0.451561411,0.555832292,0.510027612,0.612535613,0.544659772,0.567472773,0.555832292,505.1758581,480.62,0.624881292,0.138040111,-0.200180795,celltype
53,STARmap,Mouse Medial Prefrontal Cortex,BZ9,Banksy,0.385064506,0.493754578,0.45702997,0.556505223,0.481089187,0.507104871,0.493754578,5.359630585,17.13290386,0.50997151,0.139766914,-0.109946511,celltype
