,Technology,Dataset,Sample,Method,Tissue,ARI,NMI,FMI,Purity,Homogeneity,Completeness,V_measure,Time,Memory,PAS,CHAOS,ASW
1,10X,Chicken Heart,D10,BASS,Heart,0.443479054,0.586776376,0.540474713,0.669624217,0.583450013,0.590140884,0.586776376,1322.425806,1349.68,0.051670146,0.065004914,-0.022660297
2,10X,Chicken Heart,D10,Banksy,Heart,0.496203322,0.571187362,0.590495147,0.707515658,0.561422151,0.581415069,0.571187362,9.27853899,328.4874079,0.079018789,0.067151891,-0.084802146
3,10X,Chicken Heart,D10,BayesSpace,Heart,0.610147178,0.649608252,0.68054781,0.801148225,0.638590144,0.661013244,0.649608252,954.57601,4129.58,0.110647182,0.065894139,-0.044824667
4,10X,Chicken Heart,D10,CCST,Heart,0.34046348,0.477664925,0.461405672,0.598016701,0.468991249,0.486803578,0.477664925,130.267015,458.9535183,0.044258873,0.064974845,0.029897353
5,10X,Chicken Heart,D10,CellCharter,Heart,0.372152217,0.497801502,0.477820347,0.613256785,0.500999972,0.494705079,0.497801502,177.2982659,161.8408878,0.120354906,0.067065689,-0.041173859
6,10X,Chicken Heart,D10,DeepST,Heart,0.477717713,0.585910479,0.568618725,0.719728601,0.582457227,0.589443941,0.585910479,144.0287238,2003.829851,0.074947808,0.065771106,0.043845628
7,10X,Chicken Heart,D10,GraphST,Heart,0.463395373,0.578685048,0.586248818,0.73434238,0.542510506,0.62002848,0.578685048,15.2393786,298.9687454,0.12473904,0.067531185,-0.103866819
8,10X,Chicken Heart,D10,PRECAST,Heart,0.497800816,0.640637184,0.622216232,0.724425887,0.586794005,0.705359744,0.640637184,20.03418198,676.22,0.112212944,0.070633914,-0.03560781
9,10X,Chicken Heart,D10,SEDR,Heart,0.450308823,0.525523065,0.547180654,0.681419624,0.524400583,0.526731737,0.525523065,17.19746733,646.6112932,0.051461378,0.064725545,-0.071298981
10,10X,Chicken Heart,D10,STAGATE,Heart,0.559035924,0.619296039,0.643770025,0.774112735,0.603820693,0.63577436,0.619296039,32.49972625,268.6144379,0.09394572,0.067975915,-0.072978931
11,10X,Chicken Heart,D10,SpaGCN,Heart,0.646655493,0.653217965,0.706612327,0.81993737,0.657245009,0.649239969,0.653217965,28.91997037,355.0027647,0.138308977,0.068933275,-0.060212166
12,10X,Chicken Heart,D10,SpaceFlow,Heart,0.386774368,0.505485289,0.49375526,0.640605428,0.502724901,0.508517928,0.505485289,15.00743527,228.900915,0.069832985,0.064926224,-0.041898277
13,10X,Chicken Heart,D10,SpatialMGCN,Heart,0.43212261,0.583710497,0.540150188,0.685803758,0.568370142,0.599901898,0.583710497,39.03094816,196.1733404,0.046450939,0.064931816,-0.088474039
14,10X,Chicken Heart,D10,stLearn,Heart,0.390395027,0.524542289,0.49970297,0.684759916,0.517755169,0.531509715,0.524542289,185.7857625,2198.233556,0.213465553,0.070757575,-0.051664937
15,10X,Chicken Heart,D14,BASS,Heart,0.635071043,0.644397094,0.726224074,0.805795628,0.622696865,0.667664388,0.644397094,1409.66698,1172.54,0.055922725,0.08080684,0.094115718
16,10X,Chicken Heart,D14,Banksy,Heart,0.503048446,0.523023674,0.638857756,0.759023894,0.495027913,0.55437579,0.523023674,9.806933165,336.4635483,0.05744789,0.08121341,0.053047018
17,10X,Chicken Heart,D14,BayesSpace,Heart,0.622733165,0.611182797,0.71883123,0.790035587,0.581963014,0.643491882,0.611182797,978.723862,4212.84,0.058464667,0.082507611,0.11465497
18,10X,Chicken Heart,D14,CCST,Heart,0.534437005,0.547917359,0.649185284,0.736248094,0.524829989,0.573404975,0.547917359,132.9205176,468.0980297,0.02541942,0.080719914,0.074732782
19,10X,Chicken Heart,D14,CellCharter,Heart,0.504905064,0.565575249,0.60744386,0.749364514,0.584665775,0.547757454,0.565575249,177.5323302,155.1427971,0.115404169,0.083151018,0.048282377
20,10X,Chicken Heart,D14,DeepST,Heart,0.522782577,0.572843397,0.623552568,0.780071174,0.5845866,0.561685574,0.572843397,141.8485794,2044.834725,0.06842908,0.081674106,0.110154594
21,10X,Chicken Heart,D14,GraphST,Heart,0.492921908,0.544714958,0.638849434,0.755973564,0.503955572,0.592647666,0.544714958,15.69432483,307.8722115,0.115912557,0.083204584,0.021144669
22,10X,Chicken Heart,D14,PRECAST,Heart,0.590013244,0.584719219,0.709005928,0.767158109,0.545160988,0.630467501,0.584719219,18.47176399,687.2,0.120488053,0.086693617,-0.046835381
23,10X,Chicken Heart,D14,SEDR,Heart,0.448471916,0.509728208,0.562976653,0.713370615,0.524446698,0.495845887,0.509728208,16.97954206,637.9749855,0.029588205,0.080859095,0.08769442
24,10X,Chicken Heart,D14,STAGATE,Heart,0.567067925,0.559667924,0.664660531,0.773157092,0.554689732,0.564978733,0.559667924,34.62677879,257.3339958,0.061209964,0.081722842,0.034238042
25,10X,Chicken Heart,D14,SpaGCN,Heart,0.54521262,0.590901151,0.641270715,0.783426538,0.603233946,0.579062528,0.590901151,40.72750926,272.8659382,0.085409253,0.081783206,0.056229903
26,10X,Chicken Heart,D14,SpaceFlow,Heart,0.441608344,0.497092665,0.562237312,0.686934418,0.500122156,0.494490483,0.497092665,30.08260055,224.3343008,0.046975089,0.080838631,0.024896635
27,10X,Chicken Heart,D14,SpatialMGCN,Heart,0.499810165,0.542838795,0.608200502,0.743263854,0.54622286,0.539496403,0.542838795,39.98818269,192.2006239,0.0350788,0.080941353,-0.035352049
28,10X,Chicken Heart,D14,stLearn,Heart,0.561552912,0.554525591,0.67217255,0.742755465,0.529434636,0.582113083,0.554525591,187.6570867,2195.860878,0.185561769,0.083605165,-0.030404067
29,10X,Chicken Heart,D4,BASS,Heart,0.445737469,0.463592124,0.577435141,0.659973226,0.453898393,0.473708941,0.463592124,643.4674319,1282.6,0.123159304,0.078490531,-0.104819771
30,10X,Chicken Heart,D4,Banksy,Heart,0.077250199,0.129740799,0.281354785,0.404283802,0.13059427,0.128898411,0.129740799,4.374069118,141.7793339,0.02811245,0.080567693,0.229923949
31,10X,Chicken Heart,D4,BayesSpace,Heart,0.459454334,0.467728114,0.594319581,0.658634538,0.441040778,0.497853162,0.467728114,370.727832,1884.7,0.048192771,0.079245167,-0.166225954
32,10X,Chicken Heart,D4,CCST,Heart,0.262315309,0.272655038,0.469755046,0.525301205,0.248037944,0.303072604,0.272655038,68.80285363,135.6424845,0.036680054,0.076407369,-0.186318972
33,10X,Chicken Heart,D4,CellCharter,Heart,0.285405713,0.324271886,0.445951515,0.592235609,0.324601115,0.324028165,0.324271886,85.86325531,92.89962921,0.220348059,0.080756716,0.031240166
34,10X,Chicken Heart,D4,DeepST,Heart,0.279859766,0.351315861,0.444276837,0.582329317,0.350379347,0.352384193,0.351315861,72.02742014,850.7202847,0.134404284,0.078537514,-0.023609472
35,10X,Chicken Heart,D4,GraphST,Heart,0.379536799,0.480739242,0.532993147,0.677376171,0.469447983,0.492587047,0.480739242,8.327399826,103.9806665,0.218206158,0.0780612,-0.052261051
36,10X,Chicken Heart,D4,PRECAST,Heart,0.475737067,0.510194994,0.598580019,0.693440428,0.503178702,0.517409723,0.510194994,6.128032017,292.72,0.199464525,0.080711417,-0.125713602
37,10X,Chicken Heart,D4,SEDR,Heart,0.189210986,0.297946193,0.396574146,0.550200803,0.284374626,0.312925471,0.297946193,8.776182938,276.1399441,0.035341365,0.076242798,-0.107220156
38,10X,Chicken Heart,D4,STAGATE,Heart,0.449662495,0.463003044,0.578764628,0.686211513,0.457562603,0.468793193,0.463003044,17.58959951,122.2214592,0.1437751,0.077301492,-0.071105144
39,10X,Chicken Heart,D4,SpaGCN,Heart,0.44506813,0.441484399,0.566845267,0.72021419,0.446555172,0.436527493,0.441484399,26.17268472,165.6217169,0.220883534,0.079231262,-0.04089637
40,10X,Chicken Heart,D4,SpaceFlow,Heart,0.280315289,0.310620753,0.437078389,0.571084337,0.316249879,0.305373291,0.310620753,16.79027863,108.3521051,0.085943775,0.076745327,-0.07911054
41,10X,Chicken Heart,D4,SpatialMGCN,Heart,0.262732563,0.33762914,0.463726323,0.591700134,0.316622527,0.361621234,0.33762914,13.10151134,78.29378834,0.061579652,0.080563186,-0.063029569
42,10X,Chicken Heart,D4,stLearn,Heart,0.361336767,0.398075674,0.515364377,0.603748327,0.3796778,0.41834734,0.398075674,74.18591809,773.1141533,0.331994645,0.08156551,-0.156626053
43,10X,Chicken Heart,D7,BASS,Heart,0.460527274,0.57859619,0.542021703,0.672431333,0.585763699,0.571601966,0.57859619,1504.252652,1270.56,0.069684639,0.069364625,-0.069265249
44,10X,Chicken Heart,D7,Banksy,Heart,0.362249601,0.503881104,0.473073459,0.628179044,0.490359305,0.518169784,0.503881104,9.271189404,336.4852551,0.154628688,0.071910827,-0.082812191
45,10X,Chicken Heart,D7,BayesSpace,Heart,0.447831361,0.561774856,0.535212378,0.710579858,0.55988197,0.563680585,0.561774856,982.458844,4229.14,0.138860631,0.070025469,-0.070185182
46,10X,Chicken Heart,D7,CCST,Heart,0.294751063,0.423110662,0.422698371,0.534486267,0.403291287,0.445160814,0.423110662,132.3735266,477.3510561,0.048423194,0.068969416,-0.150855144
47,10X,Chicken Heart,D7,CellCharter,Heart,0.381300111,0.510766733,0.4762919,0.605391658,0.514337359,0.507246172,0.510766733,179.2326561,170.8327717,0.166327569,0.070742415,-0.078249532
48,10X,Chicken Heart,D7,DeepST,Heart,0.377006272,0.505040496,0.480356504,0.598168871,0.496861471,0.513560464,0.505040496,139.5692203,2039.50771,0.138046796,0.069735746,-0.08271952
49,10X,Chicken Heart,D7,GraphST,Heart,0.445287928,0.569198488,0.53455836,0.668362157,0.565737966,0.572701605,0.569198488,16.31380954,313.2639132,0.222278739,0.07071867,-0.064027627
50,10X,Chicken Heart,D7,PRECAST,Heart,0.461845709,0.592131373,0.55329986,0.698880977,0.580490202,0.604249003,0.592131373,15.18436604,660.94,0.212105799,0.072291191,-0.083593003
51,10X,Chicken Heart,D7,SEDR,Heart,0.341263877,0.482453209,0.45427174,0.582502543,0.470441443,0.495237833,0.482453209,17.35034046,830.9370363,0.065310275,0.068862781,-0.102485475
52,10X,Chicken Heart,D7,STAGATE,Heart,0.435800766,0.574193517,0.529521171,0.668463886,0.56709087,0.581511161,0.574193517,34.57992587,270.9727602,0.149643947,0.069829613,-0.092553952
53,10X,Chicken Heart,D7,SpaGCN,Heart,0.382177699,0.517466893,0.480398104,0.62716175,0.515823243,0.519121052,0.517466893,78.61686239,284.3383646,0.217700916,0.071680529,-0.141796791
54,10X,Chicken Heart,D7,SpaceFlow,Heart,0.36784977,0.463633881,0.468753336,0.579247202,0.461588714,0.465708745,0.463633881,18.6137826,242.9257343,0.107629705,0.068958936,-0.067332194
55,10X,Chicken Heart,D7,SpatialMGCN,Heart,0.416391589,0.558809621,0.510920325,0.644964395,0.555560512,0.562096957,0.558809621,43.62773576,192.5005991,0.10681587,0.069993019,-0.094632912
56,10X,Chicken Heart,D7,stLearn,Heart,0.403583751,0.536265179,0.500243273,0.650559512,0.532525174,0.540058089,0.536265179,185.4610081,2274.428872,0.295523906,0.073759886,-0.076755118
57,10X,DLPFC,151507,BASS,Brain,0.504906154,0.696470052,0.590074673,0.712153518,0.7044176,0.688699838,0.696470052,1786.36577,2432.92,0.044776119,0.058438595,0.026331895
58,10X,DLPFC,151507,Banksy,Brain,0.466287257,0.636833252,0.564439725,0.664771381,0.627353684,0.646888307,0.636833252,14.57349548,687.5726475,0.047287373,0.057108597,-0.007574404
59,10X,DLPFC,151507,BayesSpace,Brain,0.47758989,0.633649897,0.576641939,0.662165364,0.615354785,0.653066208,0.633649897,2075.773412,8305.3,0.030561478,0.056661912,0.001405378
60,10X,DLPFC,151507,CCST,Brain,0.46650132,0.637322021,0.583122893,0.677564558,0.594789988,0.688293753,0.637322021,342.2532365,1626.416059,0.017199716,0.056410832,-0.046707217
61,10X,DLPFC,151507,CellCharter,Brain,0.439198305,0.585379401,0.534611475,0.660838664,0.595031813,0.576164249,0.585379401,205.8453345,377.1965771,0.061596778,0.057280081,0.100576517
62,10X,DLPFC,151507,DeepST,Brain,0.522867855,0.637172515,0.604512671,0.710542525,0.646869209,0.627881344,0.637172515,339.8296624,5840.225761,0.072115612,0.05673316,0.038496599
63,10X,DLPFC,151507,GraphST,Brain,0.404873171,0.619088877,0.527844678,0.634446814,0.582034966,0.661181468,0.619088877,26.41531091,1123.329943,0.008291874,0.056255539,-0.036674799
64,10X,DLPFC,151507,PRECAST,Brain,0.537283494,0.642764432,0.622950368,0.719971571,0.630378561,0.655646781,0.642764432,37.01820803,966.98,0.042407013,0.059802765,0.038774446
65,10X,DLPFC,151507,SEDR,Brain,0.532115678,0.679048877,0.618013526,0.704524994,0.669502294,0.689322531,0.679048877,23.35296202,2199.186318,0.020658612,0.056303621,0.026463495
66,10X,DLPFC,151507,STAGATE,Brain,0.546028308,0.671081369,0.622679677,0.746410803,0.685524344,0.657234422,0.671081369,68.83641114,392.748782,0.06785122,0.05780793,0.036725565
67,10X,DLPFC,151507,SpaGCN,Brain,0.455390415,0.580629735,0.553609229,0.668561952,0.566378586,0.595616566,0.580629735,88.30054531,1100.779886,0.10376688,0.058189754,-0.03206421
68,10X,DLPFC,151507,SpaceFlow,Brain,0.502793633,0.64193547,0.58825647,0.714759536,0.649536559,0.634618492,0.64193547,58.66516695,432.4794724,0.015257048,0.056265167,0.08755524
69,10X,DLPFC,151507,SpatialMGCN,Brain,0.470771184,0.604477156,0.561600241,0.670457238,0.608588611,0.600420881,0.604477156,66.76495795,425.6635769,0.033167496,0.056282699,-0.026071039
70,10X,DLPFC,151507,stLearn,Brain,0.397401325,0.522372435,0.521701536,0.630656243,0.480138294,0.572753212,0.522372435,392.6448361,7157.872786,0.187396352,0.059368548,-0.092303232
