,Tech,Dataset,Sample,Method,Tissue,ARI,NMI,FMI,Purity,Homogeneity,Completeness,V_measure,Memory,Time
1,Slideseq,mammalian spermatogenesis,Diabetes_1_data,BASS,Testis,0.223091098,0.260808497,0.357728327,0.561594469,0.285760646,0.239863969,0.260808497,8410.8,2952.389293
2,Slideseq,mammalian spermatogenesis,Diabetes_1_data,Banksy,Testis,0.217317681,0.263911323,0.371881182,0.587901743,0.269241187,0.259001506,0.263911323,3978.959082,67.03097811
3,Slideseq,mammalian spermatogenesis,Diabetes_1_data,CCST,Testis,0.110490303,0.156132321,0.261916431,0.503971464,0.169506423,0.144714323,0.156132321,22111.17221,6723.953587
4,Slideseq,mammalian spermatogenesis,Diabetes_1_data,CellCharter,Testis,0.106087461,0.163607861,0.251797541,0.486725013,0.181682121,0.148805657,0.163607861,835.6335762,1577.254756
5,Slideseq,mammalian spermatogenesis,Diabetes_1_data,DeepST,Testis,0.093023891,0.205686839,0.30111549,0.481929837,0.194216039,0.218944183,0.205686839,31457.67726,733.1840285
6,Slideseq,mammalian spermatogenesis,Diabetes_1_data,GraphST,Testis,0.168247718,0.179747561,0.314896135,0.507097154,0.194336198,0.167196292,0.179747561,23862.39879,98.40702977
7,Slideseq,mammalian spermatogenesis,Diabetes_1_data,PRECAST,Testis,0.122086264,0.218789463,0.274409831,0.504621617,0.238619234,0.202002612,0.218789463,4280.52,418.8926638
8,Slideseq,mammalian spermatogenesis,Diabetes_1_data,SEDR,Testis,0.090249566,0.209523303,0.276602969,0.513517688,0.21507016,0.204635667,0.209523303,21759.53045,157.3341722
9,Slideseq,mammalian spermatogenesis,Diabetes_1_data,STAGATE,Testis,0.110339585,0.202384915,0.268184057,0.525682136,0.218961956,0.188187133,0.202384915,860.7278133,224.4302638
10,Slideseq,mammalian spermatogenesis,Diabetes_1_data,SpaGCN,Testis,0.148201761,0.245667384,0.293871525,0.544495109,0.269288863,0.225855769,0.245667384,14535.17032,251.0686654
11,Slideseq,mammalian spermatogenesis,Diabetes_1_data,SpaceFlow,Testis,0.103497823,0.154176172,0.249276539,0.482378466,0.171299922,0.140170495,0.154176172,843.8483292,373.364683
12,Slideseq,mammalian spermatogenesis,Diabetes_1_data,SpatialMGCN,Testis,0.110201998,0.157972186,0.257867088,0.497867177,0.174113191,0.14456996,0.157972186,6760.687099,321.0292859
13,Slideseq,mammalian spermatogenesis,Diabetes_1_data,stLearn,Testis,0.162759537,0.173198235,0.377232707,0.452077664,0.147041377,0.212552229,0.173198235,4804.652246,11.30309854
14,Slideseq,mammalian spermatogenesis,Diabetes_2_data,BASS,Testis,0.188265131,0.265167291,0.34683569,0.631545727,0.303399907,0.235492015,0.265167291,12360.04,7205.472726
15,Slideseq,mammalian spermatogenesis,Diabetes_2_data,Banksy,Testis,0.192201791,0.309194382,0.358255228,0.650570413,0.341746526,0.282309404,0.309194382,5881.546989,82.69255528
16,Slideseq,mammalian spermatogenesis,Diabetes_2_data,CCST,Testis,0.078165037,0.153071972,0.248402325,0.491654199,0.174513126,0.136322964,0.153071972,52404.33159,16231.42366
17,Slideseq,mammalian spermatogenesis,Diabetes_2_data,CellCharter,Testis,0.112974737,0.201191566,0.273046151,0.554352908,0.234756356,0.176026594,0.201191566,780.062273,1687.196484
18,Slideseq,mammalian spermatogenesis,Diabetes_2_data,DeepST,Testis,0.138557393,0.260111985,0.303497631,0.612217131,0.297021878,0.231432893,0.260111985,54135.3121,1566.467252
