,Technology,Dataset,Sample,Method,train_sample,test_sample,ARI,NMI,FMI,Purity,Homogeneity,Completeness,V_measure
0,scCube,sim2,MERFISH_Animal1_Bregma0.01train_Animal1_Bregma0.01spatial,BASS,Animal1_Bregma0.01,Animal1_Bregma0.01,0.6817277191845198,0.7620816908860795,0.7480949755448899,0.9091420007493444,0.7948526786869018,0.7319059349156836,0.7620816908860795
1,scCube,sim2,MERFISH_Animal1_Bregma0.01train_Animal1_Bregma0.01spatial,Banksy,Animal1_Bregma0.01,Animal1_Bregma0.01,0.5010431306372745,0.6922683236505425,0.6330683867806802,0.7479205695016861,0.6649043765294382,0.7245203874433885,0.6922683236505425
2,scCube,sim2,MERFISH_Animal1_Bregma0.01train_Animal1_Bregma0.01spatial,CCST,Animal1_Bregma0.01,Animal1_Bregma0.01,0.1258116990442427,0.16596632285490026,0.3403143863860764,0.4496440614462346,0.1517948032018684,0.18323038809365275,0.16596632285490023
3,scCube,sim2,MERFISH_Animal1_Bregma0.01train_Animal1_Bregma0.01spatial,CellCharter,Animal1_Bregma0.01,Animal1_Bregma0.01,0.27036113165770354,0.44563736481374827,0.40271517773637655,0.6561633570625702,0.48634236996153585,0.41127924860413667,0.44563736481374827
4,scCube,sim2,MERFISH_Animal1_Bregma0.01train_Animal1_Bregma0.01spatial,DeepST,Animal1_Bregma0.01,Animal1_Bregma0.01,0.34204605388403364,0.4563788143201669,0.569423071807987,0.6557886849007118,0.39528085424475207,0.5468169638518015,0.4563788143201669
5,scCube,sim2,MERFISH_Animal1_Bregma0.01train_Animal1_Bregma0.01spatial,GraphST,Animal1_Bregma0.01,Animal1_Bregma0.01,0.0794746395268908,0.2271067315843617,0.2642574009627844,0.49550393405769955,0.23613129452201892,0.21874658463953162,0.22710673158436162
6,scCube,sim2,MERFISH_Animal1_Bregma0.01train_Animal1_Bregma0.01spatial,PRECAST,Animal1_Bregma0.01,Animal1_Bregma0.01,0.7229612175123397,0.7272018520517688,0.7811149316221719,0.8692394155114276,0.7504582859876121,0.7053435089250696,0.7272018520517688
7,scCube,sim2,MERFISH_Animal1_Bregma0.01train_Animal1_Bregma0.01spatial,SEDR,Animal1_Bregma0.01,Animal1_Bregma0.01,0.4605024932161241,0.6006026751523694,0.5735738043517873,0.7849007118771075,0.6228056822709495,0.5802156751756711,0.6006026751523693
8,scCube,sim2,MERFISH_Animal1_Bregma0.01train_Animal1_Bregma0.01spatial,STAGATE,Animal1_Bregma0.01,Animal1_Bregma0.01,0.07042593152490172,0.23963930245492038,0.2605841185670436,0.50693143499438,0.24951779493391682,0.23052306209008017,0.23963930245492032
9,scCube,sim2,MERFISH_Animal1_Bregma0.01train_Animal1_Bregma0.01spatial,SpaGCN,Animal1_Bregma0.01,Animal1_Bregma0.01,0.7299735825534043,0.7378166736014004,0.787125483110609,0.8943424503559385,0.7531233765311502,0.7231197728145963,0.7378166736014004
10,scCube,sim2,MERFISH_Animal1_Bregma0.01train_Animal1_Bregma0.01spatial,SpaceFlow,Animal1_Bregma0.01,Animal1_Bregma0.01,0.09542217799045204,0.1851660144812959,0.25131901563006054,0.4903709254402398,0.20208509723285434,0.17086606453204026,0.18516601448129588
11,scCube,sim2,MERFISH_Animal1_Bregma0.01train_Animal1_Bregma0.01spatial,SpatialMGCN,Animal1_Bregma0.01,Animal1_Bregma0.01,0.7230082323446608,0.7414142564539462,0.7856388340173299,0.8840389659048332,0.7322631036799329,0.7507970292336541,0.7414142564539463
12,scCube,sim2,MERFISH_Animal1_Bregma0.01train_Animal1_Bregma0.01spatial,stLearn,Animal1_Bregma0.01,Animal1_Bregma0.01,0.5723523368274226,0.7079229416852073,0.6597999110844179,0.8827276133383289,0.7535317675056532,0.6675824541195746,0.7079229416852073
13,scCube,sim2,MERFISH_Animal1_Bregma0.01train_Animal1_Bregma0.06spatial,BASS,Animal1_Bregma0.01,Animal1_Bregma0.06,0.7161505050910051,0.773021985369001,0.7682697424980452,0.8981845405203069,0.7942400070560474,0.7529081393193101,0.773021985369001
14,scCube,sim2,MERFISH_Animal1_Bregma0.01train_Animal1_Bregma0.06spatial,Banksy,Animal1_Bregma0.01,Animal1_Bregma0.06,0.5482483501659082,0.6711941848024823,0.6581281065460778,0.7390978850832866,0.6464665666138665,0.6978888684729251,0.6711941848024823
15,scCube,sim2,MERFISH_Animal1_Bregma0.01train_Animal1_Bregma0.06spatial,CCST,Animal1_Bregma0.01,Animal1_Bregma0.06,0.11345911750410372,0.17778233109461866,0.35710735434938307,0.42451806101441136,0.14883366799443185,0.22144708292091259,0.17778233109461866
16,scCube,sim2,MERFISH_Animal1_Bregma0.01train_Animal1_Bregma0.06spatial,CellCharter,Animal1_Bregma0.01,Animal1_Bregma0.06,0.35569644314638393,0.4734120568995669,0.4655666523336174,0.6629983155530601,0.4984136214695599,0.4509215453222789,0.4734120568995669
17,scCube,sim2,MERFISH_Animal1_Bregma0.01train_Animal1_Bregma0.06spatial,DeepST,Animal1_Bregma0.01,Animal1_Bregma0.06,0.43603337294589534,0.5259140934013221,0.5965707140185141,0.7041362530413625,0.4777549371871225,0.5905332029523337,0.525914093401322
18,scCube,sim2,MERFISH_Animal1_Bregma0.01train_Animal1_Bregma0.06spatial,GraphST,Animal1_Bregma0.01,Animal1_Bregma0.06,0.214361077980169,0.2943609039454202,0.3851753505837719,0.5768294965375257,0.2859036309289742,0.303333775489905,0.2943609039454202
19,scCube,sim2,MERFISH_Animal1_Bregma0.01train_Animal1_Bregma0.06spatial,PRECAST,Animal1_Bregma0.01,Animal1_Bregma0.06,0.6225055193979587,0.7207620900518155,0.7084996169707333,0.785513756316676,0.6977700124845324,0.7453210108826525,0.7207620900518155
20,scCube,sim2,MERFISH_Animal1_Bregma0.01train_Animal1_Bregma0.06spatial,SEDR,Animal1_Bregma0.01,Animal1_Bregma0.06,0.5384122422295826,0.6365322435851246,0.622806802974283,0.7931124836234325,0.6522548238922027,0.6217325624071315,0.6365322435851246
21,scCube,sim2,MERFISH_Animal1_Bregma0.01train_Animal1_Bregma0.06spatial,STAGATE,Animal1_Bregma0.01,Animal1_Bregma0.06,0.19662530616692941,0.30455902060913653,0.34772394081319297,0.5559423544825005,0.306501624474575,0.3026409259703498,0.30455902060913653
22,scCube,sim2,MERFISH_Animal1_Bregma0.01train_Animal1_Bregma0.06spatial,SpaGCN,Animal1_Bregma0.01,Animal1_Bregma0.06,0.7622787040833187,0.7633106393765345,0.8067304512504254,0.8978102189781023,0.7687703347829687,0.7579279450492854,0.7633106393765346
23,scCube,sim2,MERFISH_Animal1_Bregma0.01train_Animal1_Bregma0.06spatial,SpaceFlow,Animal1_Bregma0.01,Animal1_Bregma0.06,0.14216045129666716,0.21990268844020472,0.28603398733534985,0.5083660864682763,0.2302462708908099,0.2104578608388703,0.21990268844020472
24,scCube,sim2,MERFISH_Animal1_Bregma0.01train_Animal1_Bregma0.06spatial,SpatialMGCN,Animal1_Bregma0.01,Animal1_Bregma0.06,0.5897326614738521,0.7329679651236769,0.7044808371951373,0.7716638592551002,0.6802049207280815,0.794604943373239,0.732967965123677
25,scCube,sim2,MERFISH_Animal1_Bregma0.01train_Animal1_Bregma0.06spatial,stLearn,Animal1_Bregma0.01,Animal1_Bregma0.06,0.6135894980720238,0.7221655305239829,0.68338585444356,0.8717574396406513,0.748753044202386,0.6975031073381198,0.7221655305239829
26,scCube,sim2,MERFISH_Animal1_Bregma0.01train_Animal1_Bregma0.11spatial,BASS,Animal1_Bregma0.01,Animal1_Bregma0.11,0.7081953812200894,0.7641927637883765,0.7646845760230067,0.9171597633136097,0.8036950101859184,0.7283917331105698,0.7641927637883766
