,Technology,Dataset,Sample,Method,train_sample,test_sample,ARI,NMI,FMI,Purity,Homogeneity,Completeness,V_measure,PAS,CHAOS,ASW,Simulation
0,scCube,sim4,sim4_10_Layer6_Layer5,BASS,Layer6,Layer5,0.6303365155356592,0.6471475663696058,0.7195427111406744,0.7967322071448353,0.6595590948566684,0.6351945282808842,0.6471475663696057,0.0271392965937413,0.0611482431531564,0.0906689967844872,6 domains
1,scCube,sim4,sim4_10_Layer6_Layer5,Banksy,Layer6,Layer5,0.5192870854554226,0.6347417214162118,0.6297189237560747,0.8310163389642758,0.6668687104988272,0.6056359111004024,0.6347417214162119,0.0765992799778454,0.0624759711178689,0.1031534757261806,6 domains
2,scCube,sim4,sim4_10_Layer6_Layer5,BayesSpace,Layer6,Layer5,0.3394451404928574,0.515435158267757,0.4834614158473785,0.7164220437551925,0.5523934435385931,0.4831121859463537,0.5154351582677569,0.0819717529770146,0.0624139213828553,0.1853351903587509,6 domains
3,scCube,sim4,sim4_10_Layer6_Layer5,CCST,Layer6,Layer5,0.5903987513362501,0.641879350852754,0.6915681484272279,0.805206314040432,0.6408616393195907,0.6438197975870045,0.641879350852754,0.0188867349764607,0.060736161665809,0.07525330446853,6 domains
4,scCube,sim4,sim4_10_Layer6_Layer5,CellCharter,Layer6,Layer5,0.4520328622514985,0.587674036870099,0.575442409403113,0.793962891165882,0.6255202744790186,0.5541749647981572,0.587674036870099,0.1286624203821656,0.0624737187559625,0.0914381188758475,6 domains
5,scCube,sim4,sim4_10_Layer6_Layer5,DeepST,Layer6,Layer5,0.6360534104979214,0.731924015964744,0.7217041104137779,0.845970645250623,0.7577765029653237,0.7093789276521045,0.7319240159647441,0.0550540016615895,0.0608313083578166,0.056415508647779,6 domains
6,scCube,sim4,sim4_10_Layer6_Layer5,GraphST,Layer6,Layer5,0.7343653672130658,0.7160795546999996,0.79998336854178,0.8523954583217945,0.7295536690977015,0.7030941212448819,0.7160795546999996,0.0124619219052893,0.0605048765174858,0.0900252603164177,6 domains
7,scCube,sim4,sim4_10_Layer6_Layer5,PRECAST,Layer6,Layer5,0.5040481838752218,0.5971756782148305,0.6192359398802781,0.8222099141512047,0.6226758752282033,0.5736819114773304,0.5971756782148305,0.1794516754361672,0.0663304273549684,0.0386807999218023,6 domains
8,scCube,sim4,sim4_10_Layer6_Layer5,SEDR,Layer6,Layer5,0.5268181742339767,0.6240758248311231,0.6362121743961554,0.8217114372749931,0.6521477002611235,0.598396406271085,0.6240758248311231,0.0447521462198836,0.061650581973561,0.0762466402101776,6 domains
9,scCube,sim4,sim4_10_Layer6_Layer5,STAGATE,Layer6,Layer5,0.5574401474345687,0.6639399409898823,0.659770129223196,0.8234284131819442,0.6953123832982142,0.6354088533708095,0.6639399409898823,0.0517862088064247,0.061222230357815,0.0834492274507458,6 domains
10,scCube,sim4,sim4_10_Layer6_Layer5,SpaGCN,Layer6,Layer5,0.3528357591683074,0.4859098695273632,0.4943283165888009,0.7225145389088895,0.5203863307868078,0.4557178057730765,0.4859098695273632,0.2633619495984491,0.0663874627196926,0.0612734506997677,6 domains
11,scCube,sim4,sim4_10_Layer6_Layer5,SpaMGCN,Layer6,Layer5,0.3245478663856866,0.4481012262527789,0.49952391124507,0.6374965383550263,0.4418281198930865,0.4545550301692772,0.4481012262527789,0.2661312655774023,0.0635627944747454,-0.036844902242053,6 domains
12,scCube,sim4,sim4_10_Layer6_Layer5,SpaceFlow,Layer6,Layer5,0.4782966217508215,0.5673538002127758,0.5968614738335265,0.7708114095818333,0.6012848666658862,0.5370760534899321,0.5673538002127758,0.0343395181390196,0.0608124900446351,0.1703058492544659,6 domains
13,scCube,sim4,sim4_10_Layer6_Layer5,stLearn,Layer6,Layer5,0.2879375758349977,0.4288118592086957,0.4467644178858793,0.684851841595126,0.451983768826519,0.4079000050691767,0.4288118592086957,0.4077540847410689,0.0676375387274766,0.0106568446282737,6 domains
14,scCube,sim4,sim4_11_Layer6_WM,BASS,Layer6,WM,0.5147685974365708,0.5808489358380378,0.6382613386081136,0.6823594572140681,0.5476368466155433,0.6183494767910158,0.5808489358380378,0.0204929382442536,0.0623511696683606,0.0722904826752761,6 domains
15,scCube,sim4,sim4_11_Layer6_WM,Banksy,Layer6,WM,0.6335192729188227,0.6661488351165455,0.7175420931465056,0.7574079202436999,0.6758949293980356,0.6566798139694311,0.6661488351165454,0.045970645250623,0.0616580513932158,0.0881482581009587,6 domains
16,scCube,sim4,sim4_11_Layer6_WM,BayesSpace,Layer6,WM,0.4086169461009453,0.5621964247238135,0.5330976358858635,0.6873442259761838,0.5942126120721858,0.5334539170697463,0.5621964247238135,0.073663805040155,0.0626596106531795,0.0959326531479759,6 domains
17,scCube,sim4,sim4_11_Layer6_WM,CCST,Layer6,WM,0.5031508581256166,0.6136130889310438,0.6145808506236318,0.7648850733868734,0.6277235821719372,0.6004429702253586,0.6136130889310438,0.0250346164497368,0.0609796535220792,0.0566002895591504,6 domains
18,scCube,sim4,sim4_11_Layer6_WM,CellCharter,Layer6,WM,0.4009283269010097,0.5475481746236565,0.5331067159314994,0.7111603433951814,0.5656158435214438,0.5307177044312523,0.5475481746236565,0.0766546662974245,0.0619935125104913,0.1014351433951749,6 domains
19,scCube,sim4,sim4_11_Layer6_WM,DeepST,Layer6,WM,0.6846690165351899,0.7382823846927533,0.7545946934238813,0.8494599833841041,0.7689693070902531,0.7101598738905014,0.7382823846927533,0.0449736914981998,0.060691092245973,0.0607158908665684,6 domains
20,scCube,sim4,sim4_11_Layer6_WM,GraphST,Layer6,WM,0.6670566354877607,0.6618040661516364,0.7429475917245865,0.8139019662143451,0.6739818366662704,0.6500585510281829,0.6618040661516364,0.0110772639158127,0.0605082583328857,0.1140501600623166,6 domains
21,scCube,sim4,sim4_11_Layer6_WM,PRECAST,Layer6,WM,0.557454701494533,0.5464406125677455,0.6626259793877586,0.7034062586541124,0.544274410844434,0.5486241260743028,0.5464406125677455,0.1448352256992522,0.0650684836560415,0.0541812627683076,6 domains
22,scCube,sim4,sim4_11_Layer6_WM,SEDR,Layer6,WM,0.7083098584872055,0.7262791244612976,0.7751803540898481,0.8248684574909998,0.7318077154576392,0.7210588511106722,0.7262791244612976,0.0314594295209083,0.0608805980412186,0.0332922783822064,6 domains
23,scCube,sim4,sim4_11_Layer6_WM,STAGATE,Layer6,WM,0.5997999419398128,0.5879098878529623,0.6909093095070308,0.7282747161451122,0.597602016267612,0.5785508126618402,0.5879098878529622,0.0460814178897811,0.0619346206432786,0.0981778856649732,6 domains
24,scCube,sim4,sim4_11_Layer6_WM,SpaGCN,Layer6,WM,0.6887619399982191,0.6574358937168836,0.7590794295242194,0.8346718360564941,0.6751597216362719,0.6406188100153875,0.6574358937168836,0.1107726391581278,0.0633269798531241,0.0759870171097101,6 domains
25,scCube,sim4,sim4_11_Layer6_WM,SpaMGCN,Layer6,WM,0.3204444750487568,0.438406368976212,0.4700799580093631,0.6189421212960399,0.4493202039338571,0.4280101480297757,0.438406368976212,0.288285793409028,0.0636014743987325,0.0154160998490948,6 domains
26,scCube,sim4,sim4_11_Layer6_WM,SpaceFlow,Layer6,WM,0.4408328237059895,0.4858974666420589,0.5688494715794308,0.6422597618388257,0.487725201166437,0.4844767468550345,0.4858974666420588,0.0607587925782331,0.0607952027315308,0.0676098476434609,6 domains
27,scCube,sim4,sim4_11_Layer6_WM,stLearn,Layer6,WM,0.2755232585820807,0.4673729922057273,0.4345741889523848,0.656272500692329,0.4827426878986562,0.4529522294782756,0.4673729922057273,0.3606757130988646,0.0656352985697875,-0.0018852480478429,6 domains
28,scCube,sim4,sim4_12_WM_Layer6,BASS,WM,Layer6,0.409362050889389,0.5190740402974086,0.5350223067234213,0.7153143173636112,0.5450039667778837,0.4954994165769276,0.5190740402974086,0.0274162281916366,0.0609140639973265,0.1367559043392004,6 domains
29,scCube,sim4,sim4_12_WM_Layer6,Banksy,WM,Layer6,0.641576022156682,0.6347732562348967,0.7231974760333951,0.8266408197175299,0.6479198355323765,0.6221495670535917,0.6347732562348966,0.0465245084464137,0.061526622920806,0.1104025007064405,6 domains
