,Technology,Tissue,Dataset,Sample,Number of Spots,Number of Genes,Genes Detected per Spot,Sparsity,Avg Expression per Spot,Avg Non Zero Expression per Spot,Number of Clusters,PAS,CHAOS,ASW,Annotation
0,SRTsim,Simulation,sim2,SRTsim_2_1,1024,5000,3546.0,0.2907634765625,1.9787796875,2.7903436644485407,4,0.0,0.1083060722147764,0.1613325040958592,domain
1,SRTsim,Simulation,sim2,SRTsim_2_10,10000,5000,3546.0,0.29084866,1.97786832,2.7894418494844935,4,0.0,0.034642748332099696,0.16364881346844312,domain
2,SRTsim,Simulation,sim2,SRTsim_2_2,2025,5000,3544.0,0.291032,1.979083061728395,2.791828985337034,4,0.0,0.07699905035090092,0.16255711903236114,domain
3,SRTsim,Simulation,sim2,SRTsim_2_3,3025,5000,3545.0,0.29101752066115705,1.9790764297520662,2.7918024624987043,4,0.0,0.06299407883487043,0.1630675108301148,domain
4,SRTsim,Simulation,sim2,SRTsim_2_4,4096,5000,3545.0,0.29087919921875,1.9780357421875001,2.7897896517747673,4,0.0,0.05413319619607665,0.16321632926306906,domain
5,SRTsim,Simulation,sim2,SRTsim_2_5,5041,5000,3546.0,0.29082983535012896,1.9794519738147194,2.7916144304290684,4,0.0,0.04879500364742495,0.16339639452689722,domain
6,SRTsim,Simulation,sim2,SRTsim_2_6,5929,5000,3545.0,0.29088051948051946,1.9792272558610222,2.7914624960160137,4,0.0,0.0449921270665845,0.16338109032370957,domain
7,SRTsim,Simulation,sim2,SRTsim_2_7,7056,5000,3546.0,0.2907956349206349,1.9782011337868481,2.7896878418473494,4,0.0,0.04124222753911702,0.16356364261132555,domain
8,SRTsim,Simulation,sim2,SRTsim_2_8,7921,5000,3546.0,0.29090271430374953,1.9790707486428483,2.7913570492404736,4,0.0,0.038924947208074524,0.1634585128877879,domain
9,SRTsim,Simulation,sim2,SRTsim_2_9,9025,5000,3546.0,0.29085961218836565,1.9790987479224378,2.791205136599112,4,0.0,0.0364662478744718,0.16361111457003677,domain
10,SRTsim,Simulation,sim3,SRTsim_3_1,3025,500,338.0,0.3218452892561984,2.688249256198347,4.006783944181787,4,0.0,0.06299407883487043,0.1630675108301148,domain
11,SRTsim,Simulation,sim3,SRTsim_3_10,3025,9000,6396.0,0.28935015610651976,1.944223324150597,2.735954068985985,4,0.0,0.06299407883487043,0.1630675108301148,domain
12,SRTsim,Simulation,sim3,SRTsim_3_2,3025,1000,695.0,0.3047543801652893,2.294890247933884,3.3107732355723076,4,0.0,0.06299407883487043,0.1630675108301148,domain
13,SRTsim,Simulation,sim3,SRTsim_3_3,3025,2000,1407.0,0.2962819834710744,2.0974679338842974,2.982964674925356,4,0.0,0.06299407883487043,0.1630675108301148,domain
14,SRTsim,Simulation,sim3,SRTsim_3_4,3025,3000,2120.0,0.2933309090909091,2.03139305785124,2.8756423278522867,4,0.0,0.06299407883487043,0.1630675108301148,domain
15,SRTsim,Simulation,sim3,SRTsim_3_5,3025,4000,2831.0,0.29191859504132234,1.9982938016528926,2.822708405876878,4,0.0,0.06299407883487043,0.1630675108301148,domain
16,SRTsim,Simulation,sim3,SRTsim_3_6,3025,5000,3545.0,0.29101752066115705,1.9790764297520662,2.7918024624987043,4,0.0,0.06299407883487043,0.1630675108301148,domain
17,SRTsim,Simulation,sim3,SRTsim_3_7,3025,6000,4258.0,0.290409696969697,1.965940220385675,2.77078956777833,4,0.0,0.06299407883487043,0.1630675108301148,domain
18,SRTsim,Simulation,sim3,SRTsim_3_8,3025,7000,4971.0,0.28993128689492326,1.9568015584415586,2.755980199515381,4,0.0,0.06299407883487043,0.1630675108301148,domain
19,SRTsim,Simulation,sim3,SRTsim_3_9,3025,8000,5684.0,0.2895752479338843,1.9497418181818182,2.7446199823060127,4,0.0,0.06299407883487043,0.1630675108301148,domain
20,SRTsim,Simulation,sim4,SRTsim_4_1,3025,5000,3557.0,0.2885982809917355,1.9194553388429751,2.69818397234892,2,0.0,0.06299407883487045,0.3531642450835382,domain
21,SRTsim,Simulation,sim4,SRTsim_4_2,3025,5000,3545.0,0.29101752066115705,1.9790764297520662,2.7918024624987043,4,0.0,0.06299407883487043,0.1630675108301148,domain
22,SRTsim,Simulation,sim4,SRTsim_4_3,3025,5000,3537.0,0.2927350082644628,2.042638876033058,2.888922384248511,6,0.0,0.06299407883487045,0.09258061470862303,domain
23,SRTsim,Simulation,sim4,SRTsim_4_4,3025,5000,3527.0,0.2944211570247934,2.119838809917355,3.00565462464846,8,0.0,0.06299407883487045,0.05836772959446324,domain
24,SRTsim,Simulation,sim4,SRTsim_4_5,3025,5000,3522.0,0.2954669090909091,2.1890573884297524,3.10884224969907,10,0.005289256198347108,0.06299407883487045,0.23703954864016857,domain
25,SRTsim,Simulation,sim4,SRTsim_4_6,3025,5000,3517.0,0.2964659173553719,2.2640343140495864,3.2201995817327465,12,0.006611570247933884,0.06299407883487047,0.19610971556553305,domain
26,SRTsim,Simulation,sim4,SRTsim_4_7,3025,5000,3512.0,0.29744198347107437,2.3575777190082645,3.358127651674539,14,0.007933884297520661,0.06299407883487047,0.1652575314293385,domain
27,SRTsim,Simulation,sim4,SRTsim_4_8,3025,5000,3509.0,0.2979938512396694,2.419507966942149,3.4493647215888155,16,0.009256198347107438,0.06299407883487045,0.14102566104202802,domain
28,SRTsim,Simulation,sim6,SRTsim_6_1,3025,5000,3546.0,0.29078195041322313,1.9795055867768594,2.7914761083507216,4,0.0,0.06299407883487043,0.1630675108301148,domain
29,SRTsim,Simulation,sim6,SRTsim_6_10,3025,5000,373.0,0.9253148429752066,0.20830651239669423,2.7894803766635277,4,0.0,0.06299407883487045,0.16286533693080807,domain
30,SRTsim,Simulation,sim6,SRTsim_6_2,3025,5000,3359.0,0.32815352066115705,1.8728591735537188,2.7879933980561966,4,0.0,0.06299407883487043,0.16286373044157668,domain
31,SRTsim,Simulation,sim6,SRTsim_6_3,3025,5000,2984.0,0.40312575206611573,1.6679159669421486,2.7948026751986226,4,0.0,0.06299407883487045,0.1630811212257475,domain
32,SRTsim,Simulation,sim6,SRTsim_6_4,3025,5000,2613.0,0.47740528925619835,1.4571447933884298,2.788668565674398,4,0.0,0.06299407883487043,0.16286373044157668,domain
33,SRTsim,Simulation,sim6,SRTsim_6_5,3025,5000,2240.0,0.5520454876033057,1.2491528595041321,2.7889345523813636,4,0.0,0.06299407883487045,0.16286533693080807,domain
34,SRTsim,Simulation,sim6,SRTsim_6_6,3025,5000,1864.0,0.6270912396694215,1.0409393719008264,2.7917923923131034,4,0.0,0.06299407883487043,0.1630675108301148,domain
35,SRTsim,Simulation,sim6,SRTsim_6_7,3025,5000,1493.0,0.7013043966942148,0.8323469090909091,2.7870132971244006,4,0.0,0.06299407883487045,0.16306751083011478,domain
36,SRTsim,Simulation,sim6,SRTsim_6_8,3025,5000,1120.0,0.7760029752066115,0.6241430082644628,2.7867676027644603,4,0.0,0.06299407883487045,0.16306751083011478,domain
37,SRTsim,Simulation,sim6,SRTsim_6_9,3025,5000,746.0,0.8507465123966942,0.4159440661157024,2.7871384551967573,4,0.0,0.06299407883487045,0.16286533693080807,domain
48,SRTsim,Simulation,sim5,SRTsim_5_1,3546,5000,3544.0,0.2911324873096447,1.9806091934574168,2.794350194383631,4,0.12690355329949238,0.0338370795724455,0.01785884501155256,domain
49,SRTsim,Simulation,sim5,SRTsim_5_2,3542,5000,3544.0,0.2909601919819311,1.9839096555618294,2.7983754073252505,4,0.016657255787690572,0.029202780865948474,0.17432461214510392,domain
50,SRTsim,Simulation,sim5,SRTsim_5_3,3613,5000,3547.0,0.2904986991419873,1.964989427068918,2.769861957692837,4,0.03016883476335455,0.029560712548734245,-0.09885013355579664,domain
51,SRTsim,Simulation,sim5,SRTsim_5_4,3549,5000,3553.0,0.28924846435615664,1.9331598760214146,2.7201280484951744,4,0.03353057199211045,0.02998643620144239,-0.08974393777794193,domain
52,SRTsim,Simulation,sim5,SRTsim_5_5,3616,5000,3550.0,0.290003982300885,1.956231913716814,2.7556619586215265,4,0.038993362831858405,0.03058674847129808,0.13173618877981016,domain
53,SRTsim,Simulation,sim5,SRTsim_5_6,3635,5000,3552.0,0.28958024759284734,1.94585749656121,2.7393259736571025,4,0.09105914718019258,0.03279628573191407,-0.037273175920781484,domain
54,SRTsim,Simulation,sim5,SRTsim_5_7,3594,5000,3547.5,0.2905650528658876,1.967388202559822,2.773479644464219,4,0.06956037840845854,0.03154723793038035,0.11388069631943819,domain
55,SRTsim,Simulation,sim5,SRTsim_5_8,3553,5000,3550.0,0.290097213622291,1.9597297495074584,2.7610188538304663,4,0.06107514776245426,0.03149553959670374,0.0065639702888275284,domain
56,SRTsim,Simulation,sim5,SRTsim_5_9,3497,5000,3546.0,0.2908110952244781,1.9717445810694882,2.7806400742166897,4,0.06805833571632829,0.03308565821812022,-0.06437997885783624,domain
57,SRTsim,Simulation,sim5,SRTsim_5_10,3534,5000,3551.0,0.2899143180531975,1.956428975664969,2.7554630328751815,4,0.04187889077532541,0.031619389725759756,0.014881927295717226,domain
