,Technology,Dataset,Sample,Method,delta,lamda,ARI,NMI,FMI,Purity,Homogeneity,Completeness,V_measure
0,scCube,sim1,15_0.2,BASS,15,0.2,0.1332957340245608,0.1369156129410084,0.4018196639147205,0.5523809523809524,0.1478949570134693,0.12745377038311,0.1369156129410084
1,scCube,sim1,15_0.2,Banksy,15,0.2,0.1985643624101912,0.3248485600463819,0.459105824179857,0.6672527472527472,0.3441186196196899,0.3076223309336933,0.3248485600463819
2,scCube,sim1,15_0.2,BayesSpace,15,0.2,0.0953396122472403,0.2051051159769576,0.4494384610473572,0.6461538461538462,0.197238232034536,0.2136256137166833,0.2051051159769576
3,scCube,sim1,15_0.2,CCST,15,0.2,0.0615126306948656,0.0652662359186572,0.3570664143259363,0.5422710622710623,0.0698971274680624,0.0612152052338189,0.0652662359186572
4,scCube,sim1,15_0.2,CellCharter,15,0.2,0.306723896317661,0.3158079282024382,0.5410733553649821,0.6627106227106228,0.3263068510982493,0.3062184879844682,0.3158079282024382
5,scCube,sim1,15_0.2,DeepST,15,0.2,0.0981432888173996,0.164337145957725,0.454693372876931,0.602051282051282,0.1719059389003548,0.3575791971031895,0.164337145957725
6,scCube,sim1,15_0.2,GraphST,15,0.2,0.1237929186984392,0.2372500732280852,0.4100806638035772,0.6183150183150183,0.2502843364127859,0.2255062013566282,0.2372500732280852
7,scCube,sim1,15_0.2,PRECAST,15,0.2,0.1002035361302915,0.2492732350395537,0.3930155784172047,0.6021978021978022,0.2626533306373482,0.2371902791443516,0.2492732350395536
8,scCube,sim1,15_0.2,SEDR,15,0.2,0.2142753437048362,0.1405945432541636,0.5486852182609359,0.6175824175824176,0.1299322320045466,0.1541694068650494,0.1405945432541636
9,scCube,sim1,15_0.2,STAGATE,15,0.2,0.083487557590417,0.0782627394867897,0.4100600294935944,0.5806593406593408,0.0785583714766825,0.078106942760911,0.0782627394867897
10,scCube,sim1,15_0.2,SpaGCN,15,0.2,0.4560030988186812,0.4218498892871576,0.6342825375763639,0.7538461538461538,0.4488720397578983,0.3978964739724923,0.4218498892871576
11,scCube,sim1,15_0.2,SpatialMGCN,15,0.2,0.3254964871020671,0.4150240700402933,0.5726456234727445,0.6593406593406593,0.4063656298879986,0.4240595141181175,0.4150240700402933
12,scCube,sim1,15_0.2,SpaceFlow,15,0.2,0.0610695752395763,0.0381451748606404,0.3594592678931899,0.5399267399267399,0.0406455547514351,0.0359376026787048,0.0381451748606404
13,scCube,sim1,15_0.2,stLearn,15,0.2,0.513034882627972,0.4525381132269607,0.6754242682668206,0.7737728937728938,0.4779023316223695,0.4297349634818516,0.4525381132269607
14,scCube,sim1,15_0.4,BASS,15,0.4,0.2185274753211413,0.1391417775398144,0.5100143148168532,0.5970695970695971,0.1366597386290158,0.1417156426954756,0.1391417775398143
15,scCube,sim1,15_0.4,Banksy,15,0.4,0.222540218046933,0.3241377145735198,0.4727402193055818,0.677948717948718,0.3426740000502234,0.3075734266307401,0.3241377145735198
16,scCube,sim1,15_0.4,BayesSpace,15,0.4,0.1107799830180705,0.2201668993538437,0.4503132983697243,0.6461538461538462,0.2123555623665191,0.2285748504515537,0.2201668993538437
17,scCube,sim1,15_0.4,CCST,15,0.4,0.1819800715793427,0.1586052746284556,0.4525759525231873,0.5884249084249085,0.1648998690060257,0.1528053855643122,0.1586052746284556
18,scCube,sim1,15_0.4,CellCharter,15,0.4,0.2137728416135465,0.2213848040025103,0.4758713383240419,0.6146520146520146,0.2286537013578377,0.2147553970993349,0.2213848040025103
19,scCube,sim1,15_0.4,DeepST,15,0.4,0.1759259690618811,0.2736225588751236,0.4384891123821706,0.6323809523809524,0.2892389880370949,0.259681045345892,0.2736225588751236
20,scCube,sim1,15_0.4,GraphST,15,0.4,-0.0059703386623429,0.1880531459291121,0.3861943770735576,0.5992673992673992,0.1798716487608904,0.1970143837556382,0.1880531459291121
21,scCube,sim1,15_0.4,PRECAST,15,0.4,0.1273381057847387,0.2533252383769899,0.4055750451870982,0.6021978021978022,0.2670411118384891,0.2409494931734631,0.2533252383769898
22,scCube,sim1,15_0.4,SEDR,15,0.4,0.1226239965260671,0.1858959271378736,0.4455048533938189,0.6189010989010989,0.1840975895601078,0.1879753130400174,0.1858959271378736
23,scCube,sim1,15_0.4,STAGATE,15,0.4,0.1522590543235419,0.1079685704515364,0.5341804189509055,0.5951648351648352,0.0937318659648589,0.1277219005526577,0.1079685704515364
24,scCube,sim1,15_0.4,SpaGCN,15,0.4,0.5070305169983904,0.4838489709016226,0.668126861669993,0.7758241758241758,0.5108718633103351,0.4595412442623054,0.4838489709016224
25,scCube,sim1,15_0.4,SpatialMGCN,15,0.4,0.1999849974849299,0.3562033382813906,0.5063203973835516,0.6322344322344322,0.3355742360632739,0.3795348785599394,0.3562033382813906
26,scCube,sim1,15_0.4,SpaceFlow,15,0.4,0.1165157939585995,0.1100165709748241,0.3991025456451418,0.5476923076923077,0.1150106838787028,0.1056824178654934,0.1100165709748242
27,scCube,sim1,15_0.4,stLearn,15,0.4,0.579954659106221,0.5027930825651122,0.7199476459089793,0.8008791208791208,0.5262625450740799,0.4813275848177441,0.5027930825651121
