,Technology,Dataset,Sample,Method,ARI,NMI,FMI,Purity,Homogeneity,Completeness,V_measure,Time,Memory,PAS,CHAOS,ASW,Rep
0,SRTsim,sim2,SRTsim_2_1,CCST,0.932040866099358,0.9192822892241772,0.9489902402507662,0.9736328125,0.9191022944463484,0.919462354515302,0.9192822892241772,70.1291253566742,125.23730373382568,0.015625,0.1095752839985433,0.1556331873153793,1
1,SRTsim,sim2,SRTsim_2_1,DeepST,0.9570015185708344,0.9502878210792188,0.9677273587089752,0.9833984375,0.9500489090745252,0.950526853274153,0.9502878210792188,83.83152461051941,292.6524887084961,0.0078125,0.1083936930038364,0.1586912853808907,1
2,SRTsim,sim2,SRTsim_2_1,GraphST,0.9973932819104482,0.9953893045098666,0.998043052844892,0.9990234375,0.9953879349888538,0.9953906740346478,0.9953893045098664,17.784316539764404,182.24155521392825,0.0009765625,0.1083060722147764,0.1611029679333739,1
3,SRTsim,sim2,SRTsim_2_1,SEDR,0.9692559536805242,0.9566608715914252,0.9769198083586578,0.98828125,0.956643729149854,0.9566780146473703,0.9566608715914252,13.627861738204956,92.33222484588624,0.0126953125,0.1083060722147764,0.1608578610169625,1
4,SRTsim,sim2,SRTsim_2_1,SpaceFlow,0.6661104418137116,0.8184435677379571,0.7763560917946353,0.75,0.75,0.9006336771941185,0.818443567737957,32.28865838050842,162.45928382873535,0.0390625,0.1084118398634236,0.1785994025720344,1
5,SRTsim,sim2,SRTsim_2_1,SpaGCN,0.7789436071925224,0.8151385550058043,0.8340475402171236,0.8955078125,0.8151284611171213,0.8151486491444794,0.8151385550058043,13.579469442367554,170.24854278564453,0.0947265625,0.1100437874339748,0.1127481226935927,1
6,SRTsim,sim2,SRTsim_2_1,SpatialMGCN,0.948993713081064,0.9396820217568111,0.961720022724255,0.98046875,0.9393708554955956,0.939993394233762,0.9396820217568111,28.001239776611328,202.0000696182251,0.0078125,0.1093637487012488,0.1584496861492156,1
7,SRTsim,sim2,SRTsim_2_1,STAGATE,0.9947967529296876,0.9907813734365318,0.99609375,0.998046875,0.9907813734365318,0.9907813734365318,0.9907813734365318,56.374295234680176,162.51113605499268,0.001953125,0.1083060722147764,0.1614498617368365,1
8,SRTsim,sim2,SRTsim_2_1,stLearn,0.6568318793193525,0.7294612635215943,0.7423880539523966,0.76171875,0.7294133340422815,0.7295091993001775,0.7294612635215943,3.091412305831909,118.87366580963136,0.216796875,0.1116248431079436,0.0862351993737012,1
9,SRTsim,sim2,SRTsim_2_10,CCST,0.9970703212429184,0.9939171661831986,0.9978025212722136,0.9989,0.99391712317135,0.9939172091950512,0.9939171661831988,2198.6956939697266,7326.805901527405,0.0008,0.0346427483320996,0.1636109458011559,1
